Disease Name,Pet affected,Related Diseases,Symptoms,Predisposed Breeds,Risk Factors,Diagnosis Method,Cause,General Treatment,Medical Treatment, Surgical Treatment,Average Hospital Stay,Preventative Measures,Prognosis,
Demodectic Mange,Dogs,Sarcoptic Mange,"Localized: Isolated, scaly bald patches, usually on the Dog's face, creating a polka-dot appearance. Generalized: Extensive involvement of the skin, large patches affected, entire surface may be impacted. Demodectic Pododermatitis: Demodectic mange confined to the paws, often with deep infections. Bacterial infections usually accompany this condition.","Old English SheepDogs, Shar-pei","Genetic immunological defect, stress, underlying health conditions","Skin scrapes, Biopsy","Three species of Demodex mites: Demodex canis, Demodex cornei, and Demodex injai","Isoxazoline flea products (sarolaner/Simparica®, fluralaner/Bravecto®, afoxalaner/Nexgard®, lotilaner/Credelio®), Goodwinol ointment, Antibacterial gels","High-dose oral ivermectin, topical moxidectin (Advantage multi®), daily oral milbemycin (Interceptor®), labor-intensive dipping with amitraz (Mitaban®)",None,Not Applicable,"Avoid stress, maintain good health, avoid breeding Dogs with a history of generalized demodectic mange.",Younger Dogs have a better chance of cure; most Dogs under one-and-a-half years of age recover completely from generalized demodicosis; some cases may never be controlled,
Demodicosis (Red Mange),Dogs,Sarcoptic Mange,"Localized: Hair loss, reddened skin, scabbing, crusting, sometimes itching, involving small areas of the skin. Generalized: Extensive involvement of the skin, large patches affected, entire surface may be impacted, often accompanied by skin infections. Pododermatitis: Demodicosis confined to the paws, often with deep infections.","Herding breeds: Collies, Border Collies, Old English SheepDogs","Genetic predisposition, underlying health conditions, stress","Skin scraping, Deep skin scrapings, Hair plucks",Overgrowth of Demodex mites,"Topical medications or antibiotics for skin infections. For localized demodicosis, observation for spreading or worsening. For generalized demodicosis, anti-mite medications such as Amitraz, Ivermectin, Milbemycin oxime, Moxidectin, Isoxazoline Flea/Tick Products","Amitraz dip, Ivermectin liquid or pill, Milbemycin oxime pill, Moxidectin liquid or topical, Isoxazoline flea/tick control pills",Neutering,Not Applicable,"Maintain good health, stress-free environment, regular checkups, routine deworming, and heartworm prevention",Animals with localized demodicosis have a good prognosis. Prognosis worsens with increasing severity of the disease. Some Dogs with generalized demodicosis require lifelong treatment. Others may be cured after a variable period.,
Diabetes Mellitus,Dogs and Cats,"Diabetic Ketoacidosis, Cataracts","Excessive thirst, excessive urination, excessive appetite, weight loss.",,"Obesity, Age, Certain Breeds (Poodles, Dachshunds, Miniature Schnauzers, Cairn Terriers, Beagles), Pancreatitis, Certain Medications (steroids)","Blood tests (glucose levels), Urinalysis",Deficiency of insulin,"Insulin injections, diet management, home glucose monitoring, oral medications (in cats)","Insulin (injections or oral), bexagliflozin, velagliflozin, glipizide (in cats)",Not applicable,Not applicable,"Regular monitoring of symptoms, weight management, proper diet and exercise","Permanent condition in Dogs, potentially reversible in cats. Requires lifelong management and monitoring.",
Diabetic Ketoacidosis,Dogs and Cats,Diabetes Mellitus,"Lethargy, depression, anorexia, dehydration, nausea, elevated blood glucose levels, ketones in urine",Not Known,"Previous undiagnosed diabetes mellitus, concurrent conditions such as infection or pancreatitis","Clinical signs, blood glucose levels, urine ketone testing",Insulin deficiency leading to elevated blood glucose levels and production of ketone bodies,"Hospitalization, intravenous fluid therapy, insulin therapy, electrolyte replacement, pH correction","Regular insulin (e.g., Humulin R®), potassium and phosphorus supplementation, sodium bicarbonate",Not Applicable,Not Known,"Regular monitoring for diabetes mellitus, early detection and treatment of concurrent conditions, home monitoring for ketones",Fair if complicating conditions can be resolved; ongoing management required for diabetes mellitus.,
Diaphragmatic Hernias,Dogs and Cats,Not Known,"Coughing, poor appetite, lethargy, trouble breathing, rapid and short breaths, fever, collapse",Not Known,"Trauma, congenital defects","Physical examination, X-rays, ultrasound, barium series",Organs pushed through a hole in the diaphragm,Surgery to repair the hole in the diaphragm and move abdominal organs back into the abdomen,Not Applicable,Surgery to fix damage or remove damaged organs if necessary,Not Known,"Avoid trauma, discuss pros and cons of surgery with veterinarian",Fair with surgical repair; risk associated with surgery due to its impact on breathing; potential for irreparable organ damage if surgery is delayed.,
Diets and Heart Disease,Dogs and Cats,Dilated cardiomyopathy,"Coughing, poor appetite, lethargy, trouble breathing, rapid and short breaths, fever, collapse","American Cocker Spaniel, Golden Retriever, Newfoundland, Dalmatian (for taurine deficiency); unspecified breeds (for diet-associated cardiomyopathy)","Diet containing insufficient taurine, grain-free diets using lentils and other legumes as base ingredients","Blood assays for taurine levels, cardiac ultrasound (echocardiogram)","Taurine deficiency (in some cases), diet containing legumes as base ingredients (in some cases); combination of genetics, other medical conditions, and diet",Change diet to one containing grains; consult veterinarian for advice on commercial diets following WSAVA guidelines,Supplement taurine as directed by veterinarian (for taurine deficiency),Not Applicable,Not Known,"Check ingredient labels, consider changing diet if peas or lentils are main ingredients; consult veterinarian for cardiac ultrasound if Dog shows evidence of cardiomyopathy",Fair with diet change and supplementation; more data needed for definitive conclusions,
Dilated Cardiomyopathy (DCM),Dogs and Cats,Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC) in Boxers,"Loss of appetite, pale gums, increased heart rate, coughing, difficulty breathing, weakness, fainting, ascites, pleural effusion","Doberman Pinschers, Great Danes, Irish Wolfhounds, Boxers, Newfoundlands, Portuguese Water Dogs, Dalmatians, Cocker Spaniels, American Cocker Spaniels, Golden Retrievers, Standard Schnauzers","Genetic mutations, nutritional deficiencies, grain-free diets, toxins (e.g., doxorubicin), infectious diseases (e.g., parvovirus, Chagas disease)","Physical examination, 24-hour ECG recording (Holter monitor), echocardiogram, genetic testing, ECG, chest radiographs","Genetic mutations, nutritional deficiencies, toxins, infectious diseases","Diuretics (e.g., furosemide), ACE inhibitors, pimobendan, L-carnitine supplementation, nutritional supplementation, fluid removal","Diuretics, ACE inhibitors, pimobendan, digoxin, diltiazem, sotalol, mexiletine, L-carnitine supplementation, nutritional supplementation",Not Applicable,Not Known,"Nutritional supplementation (for nutritional deficiencies), selective breeding, genetic testing (where available), avoid exposure to toxins and infectious diseases","Variable depending on breed, stage of disease, type of DCM, and treatment compliance; often progressive and fatal, but early diagnosis and treatment can prolong survival; nutritional deficiencies may be reversible with appropriate supplementation",
Discoid Lupus Erythematosus (DLE) in Dogs,Dogs,Not Known,"Loss of nose pigment, scaling, cracking, ulceration",Collies,Sunlight exposure,"Biopsy of nose tissue, ruling out similar conditions","Autoimmune reaction against self-DNA, primarily confined to the skin","Avoiding strong sunlight, using protective measures","Topical corticosteroids, tetracycline/niacinamide, prednisone/prednisolone, oral cyclosporine, 0.1% tacrolimus",Not Known,Not Known,"Avoiding intense sunlight, using protective measures for nose","Variable, depending on severity and response to treatment",
Diskospondylitis,Dogs and Cats,Not Known,"Spinal pain, stiffness, unsteady walking, neurological signs",Not Known,Not Known,"Radiography, advanced imaging, urinalysis, bacterial cultures, serology, CSF analysis",Bacterial or fungal infection of intervertebral disks,"Avoiding trauma, surgeries near spine, treating underlying infections","Antibiotics, antifungal drugs, decompression, supportive therapy","Surgical stabilization, decompressive surgery",Not Known,Not Known,"Guarded, depends on cause and response to treatment",
Disseminated Intravascular Coagulation,Dogs and Cats,Not Known,Bleeding and clotting abnormally simultaneously,Not Known,"Pancreatitis, rattlesnake bite, immune-mediated hemolytic anemia, immune-mediated platelet destruction, hemangiosarcoma, blood transfusion reaction, severe liver failure, overwhelming infection, crushing injury, heatstroke, protein-losing enteropathy, glomerular disease, heartworm disease, Cushing's disease","Platelet count, evidence of inappropriate bleeding, increased blood clotting times, presence of fibrin degradation products, reduced fibrinogen blood levels","Conditions involving dying internal tissue, widespread inflammation, red blood cell destruction, poor circulation, particulate matter in bloodstream, loss of blood vessel integrity","Intravenous fluid administration, plasma transfusions","Antibiotics, intravenous fluids, plasma transfusions",Removal of original disease that predisposed patient to DIC,Not Known,Not Known,Not Known,
Disseminated Intravascular Coagulation (DIC),Dogs,Coagulation disorders,"Blood clotting abnormalities, bleeding tendencies.",Not Known,"Outdoor exposure, proximity to burrows",Blood tests,Infestation by Cuterebra larvae,"Removal of larvae by veterinarian, supportive care for coagulation abnormalities.",Supportive care,"Removal of larvae by veterinarian, supportive care for coagulation abnormalities",Not Known,"Avoiding areas with burrows, prompt removal of eggs/larvae",Prognosis depends on severity of coagulation abnormalities and prompt treatment.,
Distemper in Dogs,Dogs,Not Known,"Lack of energy, decreased appetite, fever, coughing, shortness of breath, nasal discharge, conjunctivitis, vomiting, diarrhea, weight loss, dehydration, ataxia, limb weakness, myoclonus, stiff neck, hyperesthesia, keratoconjunctivitis sicca, anterior uveitis, retinal damage, optic neuritis, pustular dermatitis, hyperkeratosis, enamel hypoplasia, cardiomyopathy, hypertrophic osteodystrophy, abortion, stillbirths, mouth ulcers",Not Known,"Lack of immunity, puppies","Physical exam, bloodwork, antibody tests, cytology/histopathology, X-rays, cerebral spinal fluid analysis, eye exams, PCR testing",Not Known,"Fluid therapy, antibiotics, lung treatments, anti-nausea medications, steroids",Not Known,Not Known,Not Known,"Isolation, disinfection, vaccination","Depends on viral strain and immune response. Neurological problems have guarded to poor prognosis, 50% chance of death. Recovery may confer long-lasting or lifelong immunity.",
Distichiasis,Dogs,Not Known,"Increased blinking, excessive tearing, squinting","Cocker Spaniel, American; English BullDog; Flat-coated Retriever; Golden Retriever; Lhasa Apso; Miniature Longhaired Dachshund; Miniature Poodle; Pekingese; Poodle; Pug; Shetland SheepDog; Shih Tzu; Toy Poodle; Yorkshire Terrier",Not Known,Physical exam,Not Known,Not Known,Not Known,"Cryosurgery, Surgery, Electrolysis",Not Known,Not Known,Good after permanent removal of extra hairs; Not suitable for breeding due to hereditary aspects.,
Dry Eye (Keratoconjunctivitis Sicca),Dogs and Cats,Canine distemper infection; Herpes upper respiratory infection,"Increased blinking, excessive tearing, squinting; Conjunctival redness; Corneal brown discoloration; Gooey yellow discharge; Blindness","American Cocker Spaniel, Miniature Schnauzer, West Highland White Terrier",Canine distemper infection; Herpes upper respiratory infection; Congenital lack of tear-producing gland tissue; Exposure to sulfa-containing antibiotics; Anesthesia; Knock on the head,Schirmer Tear Test,Immune-mediated destruction of the tear-producing gland tissue; Various other causes,Tear replacement formulas; Mucus-dissolving agents,"Cyclosporine eye drops or ointment; Tacrolimus (from compounding pharmacy); Pilocarpine (for neurogenic KCS); Artificial tear solutions, gels, and ointments; Topical antibiotics; Topical steroids","Parotid duct transposition (in severe, unresponsive cases)",Not Known,Not Known,Good after successful treatment; Periodic rechecks needed for dose adjustment and response evaluation; 80% chance of response with cyclosporine.,
Dust Mite Allergy,Dogs and Cats,Not Known,"Itching, redness, skin irritation, allergic dermatitis",,"House dust mites in sleeping areas, high humidity levels",,House dust mite exposure,Reducing dust mite exposure in the home,,,Not Known,"Keep pet off beds, use impermeable barriers, wash bedding weekly, cover pet beds with plastic or cedar, washable curtains, frequent vacuuming and dusting",Good,
E. Coli,"Dogs and Cats, Human","Enterotoxigenic E. coli, Enteropathogenic E. coli, Enterohemorrhagic E. coli","Enterotoxigenic: Secretory watery diarrhea, dehydration, Enteropathogenic: Intestinal cell destruction, diarrhea, Enterohemorrhagic: Inflammation, intestinal cell destruction",Not Known,None Known,"Microscopic examination, fecal culture","Production of toxins, attachment to intestine",Supportive care,Not Known,Not Known,Not Known,"Discuss prevention with veterinarian, avoid unnecessary antibiotic use, supportive care until immune system regains control",Not Known,
Ear Infections (Otitis),Dogs,Chronic ear infections,"Scratching, head shaking, ear discharge, odor","Shar Pei, poodles, schnauzers","Structural predisposition of ear canal, excess ear wax production, allergic skin disease, ear mites, foreign bodies","Physical examination, ear cytology, culture","Accumulation of debris, bacterial and fungal overgrowth","Professional cleaning, medication at home","Medication tailored to specific organism identified through culture, regular disinfecting ear washes",Surgical intervention in severe cases,Depends on severity,"Regular ear cleaning, monitoring for recurrent infections, complete treatment as prescribed by the veterinarian",Variable outcome,
Ear Infections (Yeast Otitis),Dogs,Chronic ear infections,"Scratching, head shaking, ear discharge, odor",All breeds,"Allergies, narrowed ear canals, other underlying causes, bacterial co-infection","Physical examination, ear cytology, culture","Yeast overgrowth, possibly bacterial co-infection","Professional cleaning, medication at home","Medication tailored to specific organism identified through culture, regular disinfecting ear washes",Surgical intervention in severe cases,Depends on severity,"Regular ear cleaning, monitoring for recurrent infections, complete treatment as prescribed by the veterinarian",Variable outcome,
Ear Mites,Dogs and Cats,"Skin infections, ear infections","Intense itching, black discharge resembling coffee grounds, skin disease",All breeds,Contact with infected animals,Microscopic examination of ear wax sample,Otodectes cynotis mite infestation,"Topical insecticides, prescription ear medications","Injectable ivermectin, single-use prescription products",Not applicable,Not applicable,"Regular treatment of all household pets, proper diagnosis before treatment",Generally good,
Ectopic Ureters,Dogs and Cats,Urinary incontinence,"Urine leaking or dribbling, licking of genital area, rash in genital area, bladder infection",Not specified,Not specified,"Urinalysis, blood panel, radiographs, IV pyelogram, ultrasound, CT scan, cystoscopy",Embryological error,"Antibiotics for infections, pain relief for discomfort",Not specified,"Surgical correction (neoureterostomy, neoureterocystostomy, nephroureterectomy)",Several days,Not specified,"Improved continence with surgery, potential complications",
egg-Perthes Disease,Dogs,"Trauma, genetics","Lameness, pain, muscle atrophy, difficulty bearing weight, crying out when stretching the limb","Toy breeds, terriers, small breeds up to a year old","Trauma to the hip, genetics",Radiographs of the hips,"Interruption of blood supply to the femoral head, leading to bone and cartilage necrosis",Anti-inflammatory/pain relieving medications,Pain management,Femoral head and neck ostectomy (FHNO),Varies,Regular check-ups,Good with surgical intervention,
Ehrlichia ewingii,Dogs,"Anaplasmosis, Rocky Mountain Spotted Fever","Mild illness or asymptomatic, swollen/stiff joints, arthritis, fever",Not specified,Tick bites,"Antibody testing, PCR testing for Ehrlichia DNA",Bacterial infection,Doxycycline for at least 28 days; corticosteroids for immune-mediated secondary reactions; blood transfusion in severe cases,Doxycycline,Not specified,At least 28 days,Tick control,Favorable with prompt treatment; re-infection possible,
Ehrlichia Infection,Dogs,"Anaplasmosis, Rocky Mountain Spotted Fever, Babesiosis","Acute Phase: listlessness, anorexia, enlarged lymph nodes/spleen, fever, neurological symptoms; Subclinical Phase: asymptomatic or reduced platelet count/elevated blood globulin level; Chronic Phase: abnormal bleeding, uveitis, neurological effects, glomerulonephritis","German Shepherd, Labrador Retriever, Golden Retriever, Siberian Husky, West Highland White Terrier, Miniature Poodle, Newfoundland, Soft Coated Wheaten Terrier",Tick bites,"Antibody testing, PCR testing for Ehrlichia DNA",Bacterial infection,Doxycycline for at least 28 days; corticosteroids for immune-mediated secondary reactions; blood transfusion in severe cases,Doxycycline,Not specified,At least 28 days,Tick control,Favorable with prompt treatment; chronic stage more difficult to treat; re-infection possible,
Elbow Dysplasia,Young Dogs,"Mild to moderate front leg lameness, pain, swelling, restricted movement","Bearded Collie, Bernese Mountain Dog, Chow Chow, German Shepherd, Golden Retriever, Labrador Retriever, Newfoundland, Rottweiler, St. Bernard, Bassett Hound",Genetic predisposition,"Examination, radiographs, advanced imaging studies, arthroscopy",Abnormal joint development,"Arthroscopic surgery, open joint surgery, medications (anti-inflammatories)","Anti-inflammatories, supplements, diets high in omega-3 fatty acids",Not specified,Not specified,Regular vet check-ups,Favorable with early diagnosis and treatment; most cases develop some degree of arthritis; older Dogs may have less predictable benefits from surgery,,
Elbow Hygromas,Large breed Dogs,Fluid-filled swelling at the point of one or Dogs and Cats elbows,Large breed Dogs,Repeated pressure on elbows,"Examination, palpation",Repeated pressure on elbows causing tissue damage and inflammation,Change bedding or surface; avoid piercing or surgery,"Drainage, flushing, antibiotics if infected","Drainage, flushing, surgery if severe or infected",Varies depending on severity,Provide soft bedding,Favorable with early diagnosis and appropriate management,,
Entropion,Dogs and Cats,"Squinting, excessive tearing, light sensitivity, eye rubbing, mucous-like discharge","Boxer, Bull Mastiff, Cavalier King Charles Spaniel, Chesapeake Bay Retriever, Chow Chow, Cocker Spaniel, English BullDog, Golden Retriever, Great Dane, Irish Setter, Labrador Retriever, Poodle, Pug, Chinese Shar Pei, Springer Spaniel, St. Bernard","Genetics, facial structure, scarring, infection, trauma, nerve damage","Ocular exam, fluorescein dye test","Genetic factors, facial structure, scarring, infection, trauma, nerve damage",Antibiotic ointments to prevent corneal damage,"Blepharoplasty to remove excess skin, lid tacking in young puppies",Varies depending on severity,Avoid breeding affected animals,Excellent with timely surgery; depends on corneal damage if untreated,,Not Known,
Eye Removal,Dogs and Cats,"Pain, blindness, trauma, tumors, glaucoma, herpes-related ulcers in cats","Brachycephalic breeds (e.g., Shih Tzu, Pug)","Trauma, tumors, glaucoma, herpes-related ulcers, eye injuries, genetics","Clinical examination, fluorescein dye test","Trauma, tumors, glaucoma, herpes-related ulcers, chronic inflammation, nerve damage","Pain relief, surgical removal of the eye","Evisceration, prosthesis placement, advanced surgical procedures (e.g., glaucoma treatment)","Removal of the eye, closure of eyelids",Varies,Excellent with proper management; complications may arise if not properly treated,,,
Fibrocartilaginous Embolism (FCE),Dog,Not Known,"Weakness or paralysis in one or Dogs and Cats hind legs, knuckling under of toes, inability to rise fully","Any breed, but large-breed Dogs are more commonly affected; Miniature Schnauzers may have a higher risk",Not Known,"Clinical signs, normal radiographs, exclusion of other conditions","Material from nucleus pulposus enters spinal artery, causing obstruction and damage to spinal cord","Supportive care, physical therapy, pain management",Not Known,Not Known,Varies depending on severity; some improvement may occur over time,Not Known,"Guarded to Fair, depending on severity and response to treatment",
Flatulence in Dogs,Dog,Not Known,"Excess gases in the intestinal tract, objectionable odor",Not Known,"Brachycephalic breeds may swallow more air, dietary factors such as consuming soy, peas, milk, cheese, fruit-based treats",Based on clinical signs and history,"Excess gases can result from swallowed air, digestion process, diffusion from bloodstream, or gas production by intestinal bacteria, particularly due to dietary fiber","Feed smaller meals several times daily, feed a mixture of dry and canned foods, discourage rapid eating, avoid certain food ingredients, encourage regular exercise, use low residue diet","Carminatives (e.g., yucca shidigera supplementation, zinc acetate supplementation, non-absorbable antibiotics, probiotics, prebiotics)",Not Applicable,Not Applicable,"Modify feeding habits, avoid certain food ingredients, promote regular exercise","Generally good with dietary and lifestyle modifications, may require ongoing management with medication in some cases",
Flea Anemia in Cats and Dogs,"Cats, Dogs","Anemia, Flea Infestation","Pale gums, listlessness, coldness, excessive licking, ingestion of non-food items","Very young kittens, elderly cats, outdoor puppies","Heavy flea infestation, inadequate grooming, outdoor access","Hematocrit (HCT) or packed cell volume (PCV) test, examination for flea dirt, clinical signs assessment","Blood loss due to flea feeding, particularly in young, elderly, or outdoor pets","Blood transfusion, flea removal, protection from further infestation, iron and vitamin supplements","Blood transfusions, blood substitutes",Not Applicable,Not Applicable,"Regular flea control, awareness of flea infestation signs, regular veterinary check-ups","Good with timely diagnosis and treatment, can be life-threatening if not addressed promptly",
Follicular Cysts in Dogs,Dogs,Not Known,"Large bumps or nodules on the skin, may ooze thick white, yellow, or brown material, may become itchy or painful",Not Known,Not Known,"Skin sample examination, fine needle aspirate, biopsy",Start from the hair follicle,"Antibiotics if infected, surgery if the cyst grows and becomes itchy or painful","Skin culture for bacterial infection, surgical removal of the entire mass",Surgical removal,Not Known,Not Known,Good if treated promptly and appropriately,
Gallstones in Dogs and Cats,Dogs and Cats,"Cholangitis, Gastrointestinal symptoms (vomiting, diarrhea, poor appetite), Jaundice","Large bumps or nodules on the skin, may ooze thick white, yellow, or brown material, may become itchy or painful",Not Known,"Tumor, thick bile, high cholesterol, bilirubin, or triglycerides, poor diet","Physical examination, bloodwork, x-rays, ultrasound","Gallbladder dysfunction, abnormal bile composition","Monitoring, medication, special diet, surgical removal of gallstones or gallbladder","Ursodiol, SAMe, antibiotics, dietary change","Surgery to remove gallstones or gallbladder, emergency surgery if gallbladder ruptures",Varies depending on severity,"Regular monitoring, dietary change, avoiding table scraps or people food","Good if treated promptly and appropriately, risk of complications higher if gallbladder ruptures",
Giardia in Pets,Dogs and Cats,"Single-celled organisms, have whip-like flagella, two forms: trophozoite and cyst","Diarrhea (ranging from minor to severe), asymptomatic carriers",Fecal-oral route from infected stool or contaminated water,"5-12 days in Dogs, 5-16 days in cats",Common in kennels or shelters,"Fresh fecal sample, ELISA test","Fenbendazole (Panacur®), Metronidazole (Flagyl®), Febantel","Bathing infected animals, environmental cleaning, proper hygiene practices",Rare transmission between pets and humans,"Killed by freezing temperatures, direct sunlight, or chemical disinfectants (e.g., quaternary ammonia compounds)",Discontinued in 2009,"Asymptomatic Dogs may not require treatment; DrontalPlus® effective in Dogs; low-residue, highly digestible diet may be beneficial until stools firm",
Glaucoma in Dogs and Cats,Dogs and Cats,"Eye disease where eye pressure becomes elevated, can cause pain and blindness","Dogs: 0.675%, Cats: 0.197%","Bloodshot eye, cloudy cornea, dilated pupil, squinting/holding eye closed, eye enlargement","Tonometry (measurement of eye pressure), comparison of pressures in Dogs and Cats eyes","Medications to lower pressure, some cases may require surgery, enucleation in severe cases","Not curable, vision loss once occurred usually doesn't return, prognosis depends on underlying disease and response to treatment",,,,,,,
Glomerulonephritis in Dogs and Cats,Dogs and Cats,"Glomerular disease involving protein loss, inflammation of kidney's glomeruli","Nausea, appetite loss, weight loss, listlessness, excess urine protein, low albumin","Excess urine protein found on urinalysis, low albumin found on blood test, urine protein:creatinine ratio","Address underlying causes of chronic inflammation, omega-3 fatty acid supplementation, low protein, low sodium diet, ACE Inhibitors, Angiotensin II Receptor Blockers (ARBs), Spironolactone","Prognosis depends on underlying cause and response to treatment, severe cases may lead to nephrotic syndrome which has a poor prognosis, biopsy may be recommended for further evaluation and prognosis assessment",,,,,,,,
Gram Negative Otitis,Dogs,Ear infections,"Scratching, head shaking, ear discharge",,"Repeated ear infections, Pseudomonas colonization","Ear cytology, culture",Gram negative bacteria,"Professional cleaning, home medication","Oral antibiotics combined with topical treatment, disinfectant rinses if no effective oral antibiotics",Surgical intervention in severe cases,Depends on severity,"Regular ear cleaning, monitoring for recurrent infections, complete treatment as prescribed by the veterinarian",Variable outcome,
Granulomatous Meningoencephalitis (GME) in Dogs and Cats,Dogs and Cats,"Inflammatory disease affecting the central nervous system, characterized by infiltration of mononuclear cells around blood vessels in the brain and spinal cord","Seizures, neck pain, drunken gait, walking in circles, blindness, listlessness, tilted head, facial abnormalities, weakness","Physical examination, basic blood panel/urinalysis, spinal tap, MRI","Immune suppression with corticosteroids (prednisolone), chemotherapy agents (cytosine arabinoside, procarbazine), immunomodulators (cyclosporine, leflunomide), radiotherapy (for focal GME), anti-seizure medication (if seizures present), therapy for secondary conditions like glaucoma","Fair prognosis with treatment, 44-75% of Dogs responding to treatment, outcomes better with multiple medications, worse with seizures or mass effect on brain imaging",,,,,,,,
Heartworm Disease,Dogs and Cats,Not Known,Not Known,Not Known,Not Known,"Antigen Test, Microfilaria Test, Radiographs, Ultrasound",Parasitic infection caused by Dirofilaria immitis,Not Known,"Heartworm preventive medication (e.g., milbemycin, ivermectin, moxidectin, selamectin)","Heartworm adulticide (e.g., melarsomine dihydrochloride)",Not Known,Not Known,Annual testing with Dogs and Cats an antigen test and a microfilaria test for Dogs; Antibody test plus an antigen test for cats,
Heartworm Disease,Dog,Not Known,Not Known,Not Known,Mosquito bites,"Antigen Test, Microfilaria Test, Radiographs, Ultrasound",Parasitic infection caused by Dirofilaria immitis,"Heartworm preventive medication (e.g., ivermectin, moxidectin, selamectin, milbemycin)","Heartworm adulticide (e.g., melarsomine dihydrochloride)",Not Known,Not Known,Annual testing with Dogs and Cats an antigen test and a microfilaria test,Not Known,
Helicobacter Infection,Dogs and Cats,"Stomach ulcers, Inflammatory bowel disease","Pain, nausea, vomiting, worsening of existing gastrointestinal disease",Not Known,"Stress, anxiety, concurrent disease","Biopsy, Rapid Urease Test, PCR Testing, Blood Tests, Breath Testing",Infection with Helicobacter bacteria,"Triple Therapy consisting of antibiotics (e.g., Amoxicillin, Tetracycline, Flagyl, Clarithromycin, Azithromycin, Erythromycin) and acid secretion inhibitors (e.g., Omeprazole, Pepcid AC)","Antibiotic therapy, acid secretion inhibitors",Not Known,Not Known,Wear gloves and wash hands thoroughly after cleaning up after pets,Not Known,
Hemangioma,Dogs and Cats,Hemangiosarcoma,"Varies depending on location and progression: dark purple blisters on skin, internal bleeding, weakness, anorexia","American Pitbull Terrier, basset hound, Beagle, Boxer, Dalmatian, English BullDog, English Pointer, Greyhound, Italian greyhound, Staffordshire terrier, Whippet (mostly predisposed to solar-induced form)",Unknown (solar radiation through UV light may play a role in skin-related tumors),"Surgical removal of all or part of the mass for definitive diagnosis, blood tests, clinical signs, predispositions, ultrasound","Mutation in cells, possibly influenced by solar radiation","Supportive care, surgical removal of the mass, additional surgeries for new tumors",Not Known,Varies depending on type of tumor and response to treatment,Not Known,"Surgical removal usually leads to normal health, potential for recurrence with solar-induced tumors.",Not Known,
Hemangiopericytoma,Dog,Soft Tissue Sarcoma,"Round nodule under the skin, bald, pigmented, or ulcerated appearance; recurrence at original site; invasion of local tissues; rarely spreads to distant sites; may be mistaken for benign lipoma if not tested",Not specified,Chromosomal abnormality,"Surgical removal of tumor, biopsy, ultrasound",Mutation in pericyte cells associated with blood vessels,"Local tumor control, radiation therapy, surgery, metronomic chemotherapy, palliative radiation therapy, electrochemotherapy",Not specified,Surgical removal to remove as much tumor as possible; amputation of limb if tumor is on a limb; palliative radiation therapy,Not specified,Not specified,"Depends on treatment response, likelihood of recurrence, and potential for metastasis; may be curable with appropriate treatment and early intervention; consult with a veterinarian for the best treatment options for individual cases",
Hemangiosarcoma,Dogs and Cats,Soft Tissue Sarcoma,"Internal bleeding, rapid internal spread, rosy red or black skin growths (Dogs), subcutaneous dark blood-red growths (Dogs), splenic mass (Dogs), pericardial tamponade (Dogs), dermal, subcutaneous, visceral, or oral forms (cats)","German Shepherd Dog, Golden Retriever, Labrador Retriever",Unknown,"Biopsy, chest radiographs, ultrasound",Chromosomal abnormalities in blood vessel cells,"Local tumor control, surgery, chemotherapy, immunotherapy, antiangiogenic therapy (investigational)","Adriamycin (doxorubicin), cyclophosphamide (cats)","Surgical removal of skin growths (Dogs), splenectomy (Dogs), surgery with or without chemotherapy (cats), tapping pericardium (Dogs)",Not specified,"Regular veterinary check-ups, avoiding sun exposure","Depends on treatment, extent of disease, and individual response; temporary remissions possible with realistic expectations; poor prognosis for heart-based hemangiosarcoma without chemotherapy; experimental treatments available for research participation (Dogs)",
Hemangiosarcoma,Cat,Soft Tissue Sarcoma,"Internal bleeding, rapid internal spread, dermal or subcutaneous skin growths, splenic mass, pericardial tamponade, involvement of internal organs, growths from gums",Unknown,Sun exposure (dermal and subcutaneous forms),Biopsy,Chromosomal abnormalities in blood vessel cells,"Surgical removal, chemotherapy (limited data available), mitotic figure count in biopsy as prognostic indicator (retrospective studies)",Unknown,"Surgical removal, chemotherapy (limited data available), mitotic figure count in biopsy as prognostic indicator (retrospective studies)",Not specified,"Regular veterinary check-ups, avoiding sun exposure","Depends on treatment, extent of disease, and individual response; surgical removal may be curative for dermal forms; subcutaneous forms have high recurrence rate after surgery; poor prognosis for visceral forms; mitotic figure count in biopsy may indicate shorter survival time with higher count (retrospective studies)",
Hemivertebrae,Dogs and Cats,Spinal Disorders,"Weakness of the rear limbs, fecal incontinence, urinary incontinence","English BullDog, French BullDog, Pug, Boston Terriers",Genetic predisposition,"X-ray, myelography, MRI, CT imaging",Congenital condition,"Rest, corticosteroid injections during flare-ups for mild cases; surgery for severe cases",Not specified,Stabilization surgery,Not specified,Not specified,Symptoms may plateau at age nine months; presence of hemivertebrae usually incidental but may cause symptoms if they create abnormal spinal angle; other spinal malformations may also be present; prognosis varies depending on severity and individual case; testing may be needed to fully assess condition and determine appropriate treatment.,
